Rank,Player,Position,School,Class,Photo_Url,Pick,Slot Value,Player Cost,Player Cost Note,
82,Lucas Moore,OF,Louisville,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fgocards.com%2Fimages%2F2025%2F2%2F12%2Flucas_moore_hs25.jpg&width=180&height=270&type=webp,82,"$1,003,800","$1,003,800",,"$2,000,000"
83,Jacob Dudan,RHP,NC State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fgopack.com%2Fimages%2F2024%2F11%2F26%2FJacob_Dudan.png&width=180&height=270&type=webp,83,"$988,700","$988,700",,
84,Cooper Harris,RHP,Flower Mound,H,https://bloximages.chicago2.vip.townnews.com/starlocalmedia.com/content/tncms/assets/v3/editorial/1/dc/1dc29f48-097a-11ef-98f8-339601694dae/66352b6c2a6ec.image.jpg?resize=400%2C400,84,"$973,700","$1,800,000",,
85,Ethan Wachsmann,RHP,Grandview,H,https://pbs.twimg.com/profile_images/1817302525717958656/d7CFGlBv_400x400.jpg,85,"$958,500","$1,600,000",,
86,Rocco Maniscalco,SS,Oxford,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/p6h3mirsgve4n2hv6woy.jpg",86,"$943,600","$1,500,000",,
87,Will Yow,SS,St. Anne's-Belfield,H,https://pbs.twimg.com/profile_images/1970686480860237824/FYB1WOko_400x400.jpg,87,"$929,700","$1,600,000",,
88,Nathaneal Davis,OF,Trinity Prep,H,https://thetrinityvoice.com/wp-content/uploads/2023/04/Prince_AN-5.1-615x900.png,88,"$915,100","$1,600,000",,
89,Kade Lewis,3B,Wake Forest,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fwakeforestsports.com%2Fimages%2F2025%2F1%2F28%2FKade_Lewis_Headshot.JPG&width=180&height=270&type=webp,89,"$900,800","$900,800",,
90,Brendan Brock,C,Oklahoma,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fsoonersports.com%2Fimages%2F2025%2F9%2F9%2FBrendan_Brock_Headshot.jpg&width=180&height=270&type=webp,90,"$887,000","$887,000",,"$2,000,000"
91,Kollin Ritchie,3B/OF,Oklahoma State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fokstate.com%2Fimages%2F2024%2F10%2F2%2FRitchie_Kollin.jpg&width=180&height=270&type=webp,91,"$872,900","$872,900",,
